name,ONS_code,county,region,country,winner_2019,winner_2024,MP_name,winner_votes,percentage_of_total_votes,margin_of_total_votes,Labour,Conservative,Reform UK,Liberal Democrat,Green,Scottish National Party,Plaid Cymru,Sinn Fein,Democratic Unionist Party,Alliance Party,Ulster Unionist Party,Social Democratic and Labour Party,Traditional Unionist Voice,Independent,Other,total_votes,turnout
Bristol South,E14001135,Avon,South West,England,Labour,Labour,Karin Smyth,18521,0.427,0.177,18521,4947,6195,2721,10855,0,0,0,0,0,0,0,0,0,164,43403,0.575
Broadland and Fakenham,E14001136,Norfolk,East England,England,Conservative,Conservative,Jerome Mayhew,16322,0.33,0.0145,15603,16322,8859,5526,3203,0,0,0,0,0,0,0,0,0,0,49513,0.654
Bromley and Biggin Hill,E14001137,London,London,England,Conservative,Conservative,Peter Fortune,15929,0.34,0.00645,15627,15929,8203,4352,2583,0,0,0,0,0,0,0,0,0,94,46788,0.676
Bromsgrove,E14001138,Worcestershire,West Midlands,England,Conservative,Conservative,Bradley Thomas,16533,0.328,0.0598,13517,16533,9584,7391,1675,0,0,0,0,0,0,0,0,0,1705,50405,0.671
Broxbourne,E14001139,Hertfordshire,East England,England,Conservative,Conservative,Lewis Cocking,15810,0.368,0.0665,12952,15810,8782,2688,2461,0,0,0,0,0,0,0,0,0,259,42952,0.571
Broxtowe,E14001140,Nottinghamshire,East Midlands,England,Conservative,Labour,Juliet Campbell,19561,0.409,0.176,19561,11158,8402,3807,3488,0,0,0,0,0,0,0,0,0,1422,47838,0.665
Buckingham and Bletchley,E14001141,Buckinghamshire,South East,England,Conservative,Labour,Callum Anderson,17602,0.369,0.0506,17602,15181,7468,4300,2590,0,0,0,0,0,0,0,0,0,500,47847,0.637
Burnley,E14001142,Lancashire,North West,England,Conservative,Labour,Oliver Ryan,12598,0.317,0.0861,12598,8058,7755,9178,1518,0,0,0,0,0,0,0,0,0,612,39719,0.53
Burton and Uttoxeter,E14001143,Staffordshire,West Midlands,England,Conservative,Labour,Jacob Collier,16222,0.356,0.0497,16222,13956,9611,1663,2119,0,0,0,0,0,0,0,0,0,2056,45627,0.608
Bury North,E14001144,Greater Manchester,North West,England,Conservative,Labour,James Frith,19625,0.431,0.153,19625,12681,7385,1317,1747,0,0,0,0,0,0,0,0,0,2765,45520,0.585
Bury South,E14001145,Greater Manchester,North West,England,Conservative,Labour,Christian Wakeford,19247,0.456,0.222,19247,9886,6865,1796,2715,0,0,0,0,0,0,0,0,0,1705,42214,0.56
Bury St Edmunds and Stowmarket,E14001146,Suffolk,East England,England,Conservative,Labour,Peter Prinsley,16745,0.329,0.0285,16745,15293,8595,3154,5761,0,0,0,0,0,0,0,0,0,1345,50893,0.656
Calder Valley,E14001147,South Yorkshire,Yorkshire and the Humber,England,Conservative,Labour,Josh Fenton-Glynn,22046,0.444,0.181,22046,13055,7644,2587,3701,0,0,0,0,0,0,0,0,0,575,49796,0.641
Camborne and Redruth,E14001148,Cornwall,South West,England,Conservative,Labour,Perran Moon,19360,0.405,0.163,19360,11554,8952,4113,2840,0,0,0,0,0,0,0,0,0,966,47785,0.642
Cambridge,E14001149,Cambridgeshire,East England,England,Labour,Labour,Daniel Zeichner,19614,0.466,0.263,19614,5073,0,8536,6842,0,0,0,0,0,0,0,0,0,2035,42100,0.604
Cannock Chase,E14001150,Staffordshire,West Midlands,England,Conservative,Labour,Josh Newbury,15671,0.365,0.0728,15671,12546,11570,1029,2137,0,0,0,0,0,0,0,0,0,0,42953,0.558
Canterbury,E14001151,Kent,South East,England,Labour,Labour,Rosie Duffield,19531,0.414,0.183,19531,10878,6805,3812,5920,0,0,0,0,0,0,0,0,0,285,47231,0.664
Carlisle,E14001152,Cumbria,North West,England,Conservative,Labour,Julie Minns,18129,0.394,0.113,18129,12929,9295,2982,1922,0,0,0,0,0,0,0,0,0,722,45979,0.591
Carshalton and Wallington,E14001153,London,London,England,Conservative,Liberal Democrat,Bobby Dean,20126,0.431,0.169,6108,12221,5941,20126,1517,0,0,0,0,0,0,0,0,0,757,46670,0.64
Castle Point,E14001154,Essex,East England,England,Conservative,Conservative,Rebecca Harris,15485,0.381,0.08,9455,15485,12234,1341,2118,0,0,0,0,0,0,0,0,0,0,40633,0.576
Central Devon,E14001155,Devon,South West,England,Conservative,Conservative,Mel Stride,16831,0.315,0.00114,16770,16831,7784,8232,3338,0,0,0,0,0,0,0,0,0,477,53432,0.712
